Date,Close,High,Low,Open,Volume,SMA_20,EMA_9,RSI_14,MACD_12_26_9,MACDh_12_26_9,MACDs_12_26_9,ATR_14,Target_Next_Day
2023-08-25,4140.0,4140.0,3930.0,3950.0,64624300,3179.0,3616.4886902620165,98.47440511924226,521.0120057183126,55.705005217226415,465.3070005010862,174.49862733430723,1.0
2023-08-28,4280.0,4290.0,4090.0,4140.0,65825700,3260.0,3749.1909522096134,98.64010645882259,545.7519324197915,64.35594553496423,481.39598688482727,176.32015395328528,1.0
2023-08-29,4470.0,4470.0,4250.0,4290.0,95744500,3343.0,3893.352761767691,98.82640716263327,574.0723657908102,74.1411031247863,499.9312626660239,179.44014295662205,1.0
2023-08-30,4500.0,4540.0,4390.0,4480.0,100315000,3428.0,4014.682209414153,98.85312359958817,592.1117666850178,73.74440321519512,518.3673634698226,177.33727560257765,1.0
2023-08-31,4530.0,4550.0,4460.0,4500.0,51696900,3513.0,4117.745767531323,98.88056736724718,601.8906503863477,66.81862953322002,535.0720208531277,171.0988987738221,1.0
2023-09-01,4750.0,4870.0,4440.0,4530.0,84973000,3609.0,4244.196614025059,99.05849240094975,620.2428737946684,68.13668235323257,552.1061914414358,189.59183457569196,1.0
2023-09-04,4970.0,4980.0,4760.0,4780.0,72654600,3714.0,4389.357291220047,99.19609550591446,645.1029590998237,74.39741412671026,570.7055449731134,192.47813210599966,1.0
2023-09-05,4990.0,5050.0,4930.0,5025.0,59236900,3817.0,4509.485832976037,99.20743596827593,658.8240748334947,70.49482388830495,588.3292509451898,187.30112266985685,1.0
2023-09-06,5200.0,5250.0,4980.0,5000.0,74615800,3929.0,4647.588666380831,99.31646908989559,678.8184068204619,72.39132470021764,606.4270821202442,193.20818533629566,1.0
2023-09-07,5400.0,5425.0,5225.0,5250.0,60842800,4049.0,4798.070933104665,99.4009881885975,702.7020753934939,77.01999461859975,625.6820807748942,195.479029240846,1.0
2023-09-08,5600.0,5650.0,5425.0,5425.0,68316700,4179.0,4958.456746483732,99.47138040495172,729.3607664362562,82.94294852908956,646.4178179071666,199.37338429507128,0.0
2023-09-11,5500.0,5800.0,4800.0,5800.0,154716900,4304.0,5066.765397186986,93.5517337833701,733.9581937041039,70.03230063754984,663.9258930665541,256.5609997025662,1.0
2023-09-12,5800.0,5825.0,5500.0,5525.0,68802100,4440.0,5213.412317749589,94.5915897785465,753.1275946267306,71.36136124814118,681.7662333785894,261.44949972381147,1.0
2023-09-13,5825.0,5950.0,5550.0,5850.0,122386600,4571.75,5335.7298541996715,94.66874461684196,761.5580073766314,63.8334191984336,697.7245881781978,271.34596402925354,0.0
2023-09-14,5775.0,5875.0,5725.0,5825.0,60667800,4695.5,5423.583883359737,91.8466501907949,755.4957038914936,46.21689257063656,709.278811320857,262.67839517002113,0.0
2023-09-15,5600.0,5825.0,5375.0,5775.0,83812900,4808.0,5458.86710668779,82.56906372403067,728.1762843075076,15.117978389320456,713.0583059181871,276.0585098007339,0.0
2023-09-18,5150.0,5625.0,5025.0,5600.0,121594100,4893.5,5397.093685350232,64.52095740186837,662.5764395131309,-40.38549312404507,702.961932637176,299.19718767211003,1.0
2023-09-19,5350.0,5450.0,5050.0,5150.0,75031600,4980.5,5387.674948280185,67.88123589084867,619.5842370159617,-66.7021564969715,686.2863935129332,306.3973885526736,0.0
2023-09-20,5275.0,5425.0,5225.0,5375.0,34052700,5052.75,5365.139958624149,65.38050143440934,572.8571924724138,-90.74336083241553,663.6005533048293,298.79757508462546,0.0
2023-09-21,5275.0,5325.0,5150.0,5275.0,40805600,5119.0,5347.111966899319,65.38050143440933,529.7193975454475,-107.1049246075055,636.824322152953,289.95489115000936,1.0
2023-09-22,5450.0,5475.0,5225.0,5325.0,43107600,5184.5,5367.689573519455,68.51893805883027,503.8454055366228,-106.38313329306413,610.228538829687,287.1009703535801,1.0
2023-09-25,5675.0,5700.0,5450.0,5450.0,50688200,5254.25,5429.151658815564,72.0298255892804,495.7806493412563,-91.55831159074455,587.3389609320009,284.4509010426101,0.0
2023-09-26,5675.0,5800.0,5525.0,5700.0,65325700,5314.5,5478.321327052451,72.0298255892804,483.81218623273617,-82.82141975941181,566.633605992148,283.7758366824237,0.0
